FIPS,county-state,sq_mi,land_sq_mi,water_sq_mi
6011,"Colusa, CA",1156.22,1150.68,5.54
48091,"Comal, TX",574.59,561.45,13.15
20033,"Comanche, KS",789.7,788.31,1.39
40031,"Comanche, OK",1083.82,1069.35,14.48
48093,"Comanche, TX",947.67,937.69,9.98
48095,"Concho, TX",993.69,991.45,2.23
22029,"Concordia, LA",748.68,695.91,52.77
1035,"Conecuh, AL",852.51,850.79,1.71
8021,"Conejos, CO",1290.87,1287.22,3.65
6013,"Contra Costa, CA",802.15,719.95,82.2
56009,"Converse, WY",4265.1,4254.72,10.38
5029,"Conway, AR",566.66,556.15,10.51
13075,"Cook, GA",233.22,229.02,4.2
17031,"Cook, IL",1635.04,945.68,689.36
27031,"Cook, MN",3339.72,1450.6,1889.11
48097,"Cooke, TX",898.81,873.64,25.17
29053,"Cooper, MO",570.22,565.03,5.19
33007,"Coos, NH",1831.44,1800.39,31.06
41011,"Coos, OR",1806.38,1600.48,205.9
1037,"Coosa, AL",666.36,652.44,13.91
28029,"Copiah, MS",779.38,776.6,2.78
46031,"Corson, SD",2529.42,2472.93,56.48
36023,"Cortland, NY",501.52,499.65,1.87
48099,"Coryell, TX",1056.73,1051.76,4.97
39031,"Coshocton, OH",567.58,564.07,3.51
8023,"Costilla, CO",1230.44,1227.1,3.34
48101,"Cottle, TX",901.59,901.18,0.42
40033,"Cotton, OK",641.94,636.64,5.31
27033,"Cottonwood, MN",648.91,639.99,8.91
1039,"Covington, AL",1043.86,1033.82,10.05
28031,"Covington, MS",414.94,413.79,1.15
51580,"Covington, VA",5.67,5.67,0
13077,"Coweta, GA",445.98,442.62,3.36
20035,"Cowley, KS",1132.6,1126.24,6.37
53015,"Cowlitz, WA",1166.33,1138.64,27.69
40035,"Craig, OK",762.71,761.03,1.68
51045,"Craig, VA",330.61,330.61,0
5031,"Craighead, AR",712.98,710.84,2.14
48103,"Crane, TX",785.59,785.56,0.03
37049,"Craven, NC",774.14,708.43,65.72
5033,"Crawford, AR",604.2,595.39,8.81
13079,"Crawford, GA",326.45,325.01,1.45
19047,"Crawford, IA",714.99,714.36,0.63
17033,"Crawford, IL",445.74,443.53,2.2
18025,"Crawford, IN",308.85,305.68,3.17
20037,"Crawford, KS",595.05,592.91,2.14
26039,"Crawford, MI",563.37,558.12,5.25
29055,"Crawford, MO",743.79,742.52,1.27
39033,"Crawford, OH",402.83,402.11,0.72
42039,"Crawford, PA",1037.74,1012.72,25.01
55023,"Crawford, WI",599.22,572.69,26.53
40037,"Creek, OK",969.77,955.53,14.23
1041,"Crenshaw, AL",610.88,609.58,1.3
13081,"Crisp, GA",281.2,273.82,7.38
5035,"Crittenden, AR",636.69,610.17,26.52
21055,"Crittenden, KY",370.95,362.14,8.81
47033,"Crockett, TN",265.47,265.27,0.21
48105,"Crockett, TX",2807.43,2807.42,0.01
41013,"Crook, OR",2987.41,2979.38,8.03
56011,"Crook, WY",2870.52,2858.59,11.93
48107,"Crosby, TX",901.69,899.51,2.17
5037,"Cross, AR",622.33,615.85,6.49
27035,"Crow Wing, MN",1156.56,996.57,160
8025,"Crowley, CO",800.33,788.99,11.34
48109,"Culberson, TX",3812.71,3812.46,0.25
1043,"Cullman, AL",754.82,738.43,16.39
51047,"Culpeper, VA",382.28,381,1.27
17035,"Cumberland, IL",347,346.02,0.98
21057,"Cumberland, KY",310.85,305.82,5.02
23005,"Cumberland, ME",1216.89,835.51,381.38
37051,"Cumberland, NC",658.46,652.72,5.74
34011,"Cumberland, NJ",676.59,489.3,187.29
42041,"Cumberland, PA",551.14,550.17,0.98
47035,"Cumberland, TN",684.95,681.61,3.34
51049,"Cumberland, VA",299.73,298.45,1.28
31039,"Cuming, NE",574.54,572,2.54
37053,"Currituck, NC",525.65,261.7,263.95
35009,"Curry, NM",1407.67,1405.95,1.72
41015,"Curry, OR",1988.57,1627.38,361.19
8027,"Custer, CO",739.9,738.89,1.02
16037,"Custer, ID",4936.79,4925.45,11.34
30017,"Custer, MT",3793.22,3783.13,10.09
31041,"Custer, NE",2576.08,2575.71,0.37
40039,"Custer, OK",1002,986.51,15.49
46033,"Custer, SD",1559.14,1557.69,1.45
39035,"Cuyahoga, OH",1245.56,458.49,787.07
13083,"Dade, GA",174.16,173.98,0.18
29057,"Dade, MO",506.3,490.34,15.96
49009,"Daggett, UT",723.06,698.36,24.71
27037,"Dakota, MN",586.33,569.58,16.75
31043,"Dakota, NE",267.39,263.8,3.6
1045,"Dale, AL",562.67,561.07,1.6
48111,"Dallam, TX",1505.26,1504.69,0.56
1047,"Dallas, AL",993.37,980.71,12.66
5039,"Dallas, AR",668.16,667.42,0.74
19049,"Dallas, IA",591.73,586.47,5.26
29059,"Dallas, MO",542.83,541.54,1.29
48113,"Dallas, TX",908.56,879.6,28.96
55025,"Dane, WI",1238.32,1201.89,36.42
30019,"Daniels, MT",1426.52,1426.09,0.43
51590,"Danville, VA",43.94,43.06,0.88
37055,"Dare, NC",1561.51,383.58,1177.93
39037,"Darke, OH",600.29,599.8,0.49
45031,"Darlington, SC",566.78,561.14,5.63
42043,"Dauphin, PA",557.53,525.29,32.24
37057,"Davidson, NC",566.77,552.15,14.62
47037,"Davidson, TN",526.11,502.26,23.85
37059,"Davie, NC",266.89,265.18,1.7
18027,"Daviess, IN",436.86,430.66,6.2
21059,"Daviess, KY",476.27,462.39,13.88
29061,"Daviess, MO",569.07,566.97,2.11
19051,"Davis, IA",504.89,503.24,1.65
49011,"Davis, UT",633.7,304.48,329.22
46035,"Davison, SD",436.78,435.44,1.34
31045,"Dawes, NE",1400.86,1396.24,4.62
13085,"Dawson, GA",213.93,211.04,2.9
30021,"Dawson, MT",2383.13,2373.14,9.99
31047,"Dawson, NE",1019.3,1012.92,6.37
