county-state,POPESTIMATE2019
"Gallia County, OH",29898
"Geauga County, OH",93649
"Greene County, OH",168937
"Guernsey County, OH",38875
"Hamilton County, OH",817473
"Hancock County, OH",75783
"Hardin County, OH",31365
"Harrison County, OH",15040
"Henry County, OH",27006
"Highland County, OH",43161
"Hocking County, OH",28264
"Holmes County, OH",43960
"Huron County, OH",58266
"Jackson County, OH",32413
"Jefferson County, OH",65325
"Knox County, OH",62322
"Lake County, OH",230149
"Lawrence County, OH",59463
"Licking County, OH",176862
"Logan County, OH",45672
"Lorain County, OH",309833
"Lucas County, OH",428348
"Madison County, OH",44731
"Mahoning County, OH",228683
"Marion County, OH",65093
"Medina County, OH",179746
"Meigs County, OH",22907
"Mercer County, OH",41172
"Miami County, OH",106987
"Monroe County, OH",13654
"Montgomery County, OH",531687
"Morgan County, OH",14508
"Morrow County, OH",35328
"Muskingum County, OH",86215
"Noble County, OH",14424
"Ottawa County, OH",40525
"Paulding County, OH",18672
"Perry County, OH",36134
"Pickaway County, OH",58457
"Pike County, OH",27772
"Portage County, OH",162466
"Preble County, OH",40882
"Putnam County, OH",33861
"Richland County, OH",121154
"Ross County, OH",76666
"Sandusky County, OH",58518
"Scioto County, OH",75314
"Seneca County, OH",55178
"Shelby County, OH",48590
"Stark County, OH",370606
"Summit County, OH",541013
"Trumbull County, OH",197974
"Tuscarawas County, OH",91987
"Union County, OH",58988
"Van Wert County, OH",28275
"Vinton County, OH",13085
"Warren County, OH",234602
"Washington County, OH",59911
"Wayne County, OH",115710
"Williams County, OH",36692
"Wood County, OH",130817
"Wyandot County, OH",21772
"Oklahoma, OK",3956971
"Adair County, OK",22194
"Alfalfa County, OK",5702
"Atoka County, OK",13758
"Beaver County, OK",5311
"Beckham County, OK",21859
"Blaine County, OK",9429
"Bryan County, OK",47995
"Caddo County, OK",28762
"Canadian County, OK",148306
"Carter County, OK",48111
"Cherokee County, OK",48657
"Choctaw County, OK",14672
"Cimarron County, OK",2137
"Cleveland County, OK",284014
"Coal County, OK",5495
"Comanche County, OK",120749
"Cotton County, OK",5666
"Craig County, OK",14142
"Creek County, OK",71522
"Custer County, OK",29003
"Delaware County, OK",43009
"Dewey County, OK",4891
"Ellis County, OK",3859
"Garfield County, OK",61056
"Garvin County, OK",27711
"Grady County, OK",55834
"Grant County, OK",4333
"Greer County, OK",5712
"Harmon County, OK",2653
"Harper County, OK",3688
"Haskell County, OK",12627
"Hughes County, OK",13279
"Jackson County, OK",24530
"Jefferson County, OK",6002
"Johnston County, OK",11085
"Kay County, OK",43538
"Kingfisher County, OK",15765
"Kiowa County, OK",8708
"Latimer County, OK",10073
"Le Flore County, OK",49853
"Lincoln County, OK",34877
"Logan County, OK",48011
"Love County, OK",10253
"McClain County, OK",40474
"McCurtain County, OK",32832
"McIntosh County, OK",19596
"Major County, OK",7629
"Marshall County, OK",16931
"Mayes County, OK",41100
"Murray County, OK",14073
"Muskogee County, OK",67997
"Noble County, OK",11131
"Nowata County, OK",10076
"Okfuskee County, OK",11993
"Oklahoma County, OK",797434
"Okmulgee County, OK",38465
"Osage County, OK",46963
"Ottawa County, OK",31127
"Pawnee County, OK",16376
"Payne County, OK",81784
"Pittsburg County, OK",43654
"Pontotoc County, OK",38284
"Pottawatomie County, OK",72592
"Pushmataha County, OK",11096
"Roger Mills County, OK",3583
"Rogers County, OK",92459
"Seminole County, OK",24258
"Sequoyah County, OK",41569
"Stephens County, OK",43143
"Texas County, OK",19983
"Tillman County, OK",7250
"Tulsa County, OK",651552
"Wagoner County, OK",81289
"Washington County, OK",51527
"Washita County, OK",10916
"Woods County, OK",8793
"Woodward County, OK",20211
"Oregon, OR",4217737
"Baker County, OR",16124
"Benton County, OR",93053
"Clackamas County, OR",418187
"Clatsop County, OR",40224
"Columbia County, OR",52354
"Coos County, OR",64487
"Crook County, OR",24404
"Curry County, OR",22925
"Deschutes County, OR",197692
"Douglas County, OR",110980
"Gilliam County, OR",1912
"Grant County, OR",7199
"Harney County, OR",7393
"Hood River County, OR",23382
"Jackson County, OR",220944
"Jefferson County, OR",24658
"Josephine County, OR",87487
"Klamath County, OR",68238
"Lake County, OR",7869
"Lane County, OR",382067
"Lincoln County, OR",49962
"Linn County, OR",129749
"Malheur County, OR",30571
"Marion County, OR",347818
"Morrow County, OR",11603
"Multnomah County, OR",812855
"Polk County, OR",86085
"Sherman County, OR",1780
"Tillamook County, OR",27036
"Umatilla County, OR",77950
"Union County, OR",26835
"Wallowa County, OR",7208
"Wasco County, OR",26682
"Washington County, OR",601592
"Wheeler County, OR",1332
"Yamhill County, OR",107100
"Pennsylvania, PA",12801989
"Adams County, PA",103009
"Allegheny County, PA",1216045
"Armstrong County, PA",64735
"Beaver County, PA",163929
"Bedford County, PA",47888
"Berks County, PA",421164
"Blair County, PA",121829
"Bradford County, PA",60323
"Bucks County, PA",628270
"Butler County, PA",187853
"Cambria County, PA",130192
"Cameron County, PA",4447
"Carbon County, PA",64182
"Centre County, PA",162385
"Chester County, PA",524989
"Clarion County, PA",38438
"Clearfield County, PA",79255
"Clinton County, PA",38632
"Columbia County, PA",64964
"Crawford County, PA",84629
"Cumberland County, PA",253370
"Dauphin County, PA",278299
"Delaware County, PA",566747
"Elk County, PA",29910
"Erie County, PA",269728
"Fayette County, PA",129274
"Forest County, PA",7247
"Franklin County, PA",155027
"Fulton County, PA",14530
"Greene County, PA",36233
"Huntingdon County, PA",45144
"Indiana County, PA",84073
"Jefferson County, PA",43425
"Juniata County, PA",24763
"Lackawanna County, PA",209674
"Lancaster County, PA",545724
"Lawrence County, PA",85512
"Lebanon County, PA",141793
"Lehigh County, PA",369318
"Luzerne County, PA",317417
"Lycoming County, PA",113299
"McKean County, PA",40625
"Mercer County, PA",109424
"Mifflin County, PA",46138
"Monroe County, PA",170271
"Montgomery County, PA",830915
"Montour County, PA",18230
"Northampton County, PA",305285
"Northumberland County, PA",90843
"Perry County, PA",46272
"Philadelphia County, PA",1584064
"Pike County, PA",55809
"Potter County, PA",16526
"Schuylkill County, PA",141359
"Snyder County, PA",40372
"Somerset County, PA",73447
"Sullivan County, PA",6066
"Susquehanna County, PA",40328
"Tioga County, PA",40591
"Union County, PA",44923
"Venango County, PA",50668
"Warren County, PA",39191
"Washington County, PA",206865
"Wayne County, PA",51361
"Westmoreland County, PA",348899
"Wyoming County, PA",26794
"York County, PA",449058
"Rhode Island, RI",1059361
"Bristol County, RI",48479
"Kent County, RI",164292
"Newport County, RI",82082
"Providence County, RI",638931
"Washington County, RI",125577
"South Carolina, SC",5148714
"Abbeville County, SC",24527
"Aiken County, SC",170872
"Allendale County, SC",8688
"Anderson County, SC",202558
"Bamberg County, SC",14066
"Barnwell County, SC",20866
"Beaufort County, SC",192122
"Berkeley County, SC",227907
"Calhoun County, SC",14553
"Charleston County, SC",411406
"Cherokee County, SC",57300
"Chester County, SC",32244
"Chesterfield County, SC",45650
"Clarendon County, SC",33745
"Colleton County, SC",37677
"Darlington County, SC",66618
"Dillon County, SC",30479
"Dorchester County, SC",162809
"Edgefield County, SC",27260
"Fairfield County, SC",22347
"Florence County, SC",138293
"Georgetown County, SC",62680
"Greenville County, SC",523542
"Greenwood County, SC",70811
"Hampton County, SC",19222
"Horry County, SC",354081
"Jasper County, SC",30073
"Kershaw County, SC",66551
"Lancaster County, SC",98012
"Laurens County, SC",67493
"Lee County, SC",16828
"Lexington County, SC",298750
"McCormick County, SC",9463
"Marion County, SC",30657
"Marlboro County, SC",26118
"Newberry County, SC",38440
"Oconee County, SC",79546
"Orangeburg County, SC",86175
"Pickens County, SC",126884
"Richland County, SC",415759
"Saluda County, SC",20473
"Spartanburg County, SC",319785
"Sumter County, SC",106721
"Union County, SC",27316
"Williamsburg County, SC",30368
"York County, SC",280979
"South Dakota, SD",884659
"Aurora County, SD",2751
"Beadle County, SD",18453
"Bennett County, SD",3365
"Bon Homme County, SD",6901
"Brookings County, SD",35077
"Brown County, SD",38839
"Brule County, SD",5297
"Buffalo County, SD",1962
"Butte County, SD",10429
"Campbell County, SD",1376
"Charles Mix County, SD",9292
"Clark County, SD",3736
"Clay County, SD",14070
"Codington County, SD",28009
"Corson County, SD",4086
"Custer County, SD",8972
"Davison County, SD",19775
"Day County, SD",5424
"Deuel County, SD",4351
"Dewey County, SD",5892
"Douglas County, SD",2921
"Edmunds County, SD",3829
"Fall River County, SD",6713
"Faulk County, SD",2299
"Grant County, SD",7052
"Gregory County, SD",4185
"Haakon County, SD",1899
"Hamlin County, SD",6164
"Hand County, SD",3191
"Hanson County, SD",3453
"Harding County, SD",1298
"Hughes County, SD",17526
"Hutchinson County, SD",7291
"Hyde County, SD",1301
"Jackson County, SD",3344
"Jerauld County, SD",2013
"Jones County, SD",903
"Kingsbury County, SD",4939
"Lake County, SD",12797
"Lawrence County, SD",25844
"Lincoln County, SD",61128
"Lyman County, SD",3781
"McCook County, SD",5586
"McPherson County, SD",2379
"Marshall County, SD",4935
"Meade County, SD",28332
"Mellette County, SD",2061
"Miner County, SD",2216
"Minnehaha County, SD",193134
"Moody County, SD",6576
"Oglala Lakota County, SD",14177
"Pennington County, SD",113775
"Perkins County, SD",2865
"Potter County, SD",2153
"Roberts County, SD",10394
"Sanborn County, SD",2344
"Spink County, SD",6376
"Stanley County, SD",3098
"Sully County, SD",1391
"Todd County, SD",10177
"Tripp County, SD",5441
"Turner County, SD",8384
"Union County, SD",15932
"Walworth County, SD",5435
"Yankton County, SD",22814
"Ziebach County, SD",2756
"Tennessee, TN",6829174
"Anderson County, TN",76978
"Bedford County, TN",49713
"Benton County, TN",16160
"Bledsoe County, TN",15064
"Blount County, TN",133088
"Bradley County, TN",108110
"Campbell County, TN",39842
"Cannon County, TN",14678
"Carroll County, TN",27767
"Carter County, TN",56391
"Cheatham County, TN",40667
"Chester County, TN",17297
"Claiborne County, TN",31959
"Clay County, TN",7615
"Cocke County, TN",36004
"Coffee County, TN",56520
"Crockett County, TN",14230
"Cumberland County, TN",60520
"Davidson County, TN",694144
"Decatur County, TN",11663
"DeKalb County, TN",20490
"Dickson County, TN",53948
"Dyer County, TN",37159
"Fayette County, TN",41133
"Fentress County, TN",18523
"Franklin County, TN",42208
"Gibson County, TN",49133
"Giles County, TN",29464
"Grainger County, TN",23320
"Greene County, TN",69069
"Grundy County, TN",13427
"Hamblen County, TN",64934
"Hamilton County, TN",367804
"Hancock County, TN",6620
"Hardeman County, TN",25050
"Hardin County, TN",25652
"Hawkins County, TN",56786
"Haywood County, TN",17304
"Henderson County, TN",28117
"Henry County, TN",32345
"Hickman County, TN",25178
"Houston County, TN",8201
"Humphreys County, TN",18582
"Jackson County, TN",11786
"Jefferson County, TN",54495
"Johnson County, TN",17788
"Knox County, TN",470313
"Lake County, TN",7016
"Lauderdale County, TN",25633
"Lawrence County, TN",44142
"Lewis County, TN",12268
"Lincoln County, TN",34366
"Loudon County, TN",54068
"McMinn County, TN",53794
"McNairy County, TN",25694
"Macon County, TN",24602
"Madison County, TN",97984
"Marion County, TN",28907
"Marshall County, TN",34375
"Maury County, TN",96387
"Meigs County, TN",12422
"Monroe County, TN",46545
"Montgomery County, TN",208993
"Moore County, TN",6488
"Morgan County, TN",21403
"Obion County, TN",30069
"Overton County, TN",22241
"Perry County, TN",8076
"Pickett County, TN",5048
"Polk County, TN",16832
"Putnam County, TN",80245
"Rhea County, TN",33167
"Roane County, TN",53382
"Robertson County, TN",71813
"Rutherford County, TN",332285
"Scott County, TN",22068
"Sequatchie County, TN",15026
"Sevier County, TN",98250
"Shelby County, TN",937166
"Smith County, TN",20157
"Stewart County, TN",13715
"Sullivan County, TN",158348
"Sumner County, TN",191283
"Tipton County, TN",61599
"Trousdale County, TN",11284
"Unicoi County, TN",17883
"Union County, TN",19972
"Van Buren County, TN",5872
"Warren County, TN",41277
"Washington County, TN",129375
"Wayne County, TN",16673
"Weakley County, TN",33328
"White County, TN",27345
"Williamson County, TN",238412
"Wilson County, TN",144657
"Texas, TX",28995881
"Anderson County, TX",57735
"Andrews County, TX",18705
"Angelina County, TX",86715
"Aransas County, TX",23510
"Archer County, TX",8553
"Armstrong County, TX",1887
"Atascosa County, TX",51153
"Austin County, TX",30032
"Bailey County, TX",7000
"Bandera County, TX",23112
"Bastrop County, TX",88723
"Baylor County, TX",3509
"Bee County, TX",32565
"Bell County, TX",362924
"Bexar County, TX",2003554
"Blanco County, TX",11931
"Borden County, TX",654
"Bosque County, TX",18685
"Bowie County, TX",93245
"Brazoria County, TX",374264
"Brazos County, TX",229211
"Brewster County, TX",9203
"Briscoe County, TX",1546
"Brooks County, TX",7093
"Brown County, TX",37864
"Burleson County, TX",18443
"Burnet County, TX",48155
"Caldwell County, TX",43664
"Calhoun County, TX",21290
"Callahan County, TX",13943
"Cameron County, TX",423163
"Camp County, TX",13094
"Carson County, TX",5926
"Cass County, TX",30026
"Castro County, TX",7530
"Chambers County, TX",43837
"Cherokee County, TX",52646
"Childress County, TX",7306
"Clay County, TX",10471
"Cochran County, TX",2853
"Coke County, TX",3387
"Coleman County, TX",8175
"Collin County, TX",1034730
"Collingsworth County, TX",2920
"Colorado County, TX",21493
"Comal County, TX",156209
"Comanche County, TX",13635
"Concho County, TX",2726
"Cooke County, TX",41257
"Coryell County, TX",75951
"Cottle County, TX",1398
"Crane County, TX",4797
"Crockett County, TX",3464
"Crosby County, TX",5737
"Culberson County, TX",2171
"Dallam County, TX",7287
"Dallas County, TX",2635516
"Dawson County, TX",12728
"Deaf Smith County, TX",18546
"Delta County, TX",5331
"Denton County, TX",887207
"DeWitt County, TX",20160
"Dickens County, TX",2211
"Dimmit County, TX",10124
"Donley County, TX",3278
"Duval County, TX",11157
"Eastland County, TX",18360
"Ector County, TX",166223
"Edwards County, TX",1932
"Ellis County, TX",184826
"El Paso County, TX",839238
"Erath County, TX",42698
"Falls County, TX",17297
"Fannin County, TX",35514
"Fayette County, TX",25346
"Fisher County, TX",3830
"Floyd County, TX",5712
"Foard County, TX",1155
"Fort Bend County, TX",811688
"Franklin County, TX",10725
"Freestone County, TX",19717
"Frio County, TX",20306
"Gaines County, TX",21492
"Galveston County, TX",342139
"Garza County, TX",6229
"Gillespie County, TX",26988
"Glasscock County, TX",1409
"Goliad County, TX",7658
"Gonzales County, TX",20837
"Gray County, TX",21886
"Grayson County, TX",136212
"Gregg County, TX",123945
"Grimes County, TX",28880
"Guadalupe County, TX",166847
"Hale County, TX",33406
"Hall County, TX",2964
"Hamilton County, TX",8461
"Hansford County, TX",5399
"Hardeman County, TX",3933
"Hardin County, TX",57602
"Harris County, TX",4713325
"Harrison County, TX",66553
"Hartley County, TX",5576
"Haskell County, TX",5658
"Hays County, TX",230191
"Hemphill County, TX",3819
"Henderson County, TX",82737
"Hidalgo County, TX",868707
"Hill County, TX",36649
"Hockley County, TX",23021
"Hood County, TX",61643
"Hopkins County, TX",37084
"Houston County, TX",22968
"Howard County, TX",36664
"Hudspeth County, TX",4886
"Hunt County, TX",98594
"Hutchinson County, TX",20938
"Irion County, TX",1536
"Jack County, TX",8935
"Jackson County, TX",14760
"Jasper County, TX",35529
"Jeff Davis County, TX",2274
"Jefferson County, TX",251565
"Jim Hogg County, TX",5200
"Jim Wells County, TX",40482
"Johnson County, TX",175817
"Jones County, TX",20083
"Karnes County, TX",15601
"Kaufman County, TX",136154
"Kendall County, TX",47431
"Kenedy County, TX",404
"Kent County, TX",762
"Kerr County, TX",52600
"Kimble County, TX",4337
"King County, TX",272
"Kinney County, TX",3667
"Kleberg County, TX",30680
"Knox County, TX",3664
"Lamar County, TX",49859
"Lamb County, TX",12893
"Lampasas County, TX",21428
"La Salle County, TX",7520
"Lavaca County, TX",20154
"Lee County, TX",17239
"Leon County, TX",17404
"Liberty County, TX",88219
"Limestone County, TX",23437
"Lipscomb County, TX",3233
"Live Oak County, TX",12207
"Llano County, TX",21795
"Loving County, TX",169
"Lubbock County, TX",310569
"Lynn County, TX",5951
"McCulloch County, TX",7984
"McLennan County, TX",256623
"McMullen County, TX",743
"Madison County, TX",14284
"Marion County, TX",9854
"Martin County, TX",5771
"Mason County, TX",4274
"Matagorda County, TX",36643
"Maverick County, TX",58722
"Medina County, TX",51584
"Menard County, TX",2138
"Midland County, TX",176832
"Milam County, TX",24823
"Mills County, TX",4873
"Mitchell County, TX",8545
"Montague County, TX",19818
"Montgomery County, TX",607391
"Moore County, TX",20940
"Morris County, TX",12388
"Motley County, TX",1200
"Nacogdoches County, TX",65204
"Navarro County, TX",50113
"Newton County, TX",13595
"Nolan County, TX",14714
"Nueces County, TX",362294
"Ochiltree County, TX",9836
"Oldham County, TX",2112
"Orange County, TX",83396
"Palo Pinto County, TX",29189
"Panola County, TX",23194
"Parker County, TX",142878
"Parmer County, TX",9605
"Pecos County, TX",15823
"Polk County, TX",51353
"Potter County, TX",117415
"Presidio County, TX",6704
"Rains County, TX",12514
"Randall County, TX",137713
"Reagan County, TX",3849
"Real County, TX",3452
"Red River County, TX",12023
"Reeves County, TX",15976
"Refugio County, TX",6948
"Roberts County, TX",854
"Robertson County, TX",17074
"Rockwall County, TX",104915
"Runnels County, TX",10264
"Rusk County, TX",54406
"Sabine County, TX",10542
"San Augustine County, TX",8237
"San Jacinto County, TX",28859
"San Patricio County, TX",66730
"San Saba County, TX",6055
"Schleicher County, TX",2793
"Scurry County, TX",16703
"Shackelford County, TX",3265
"Shelby County, TX",25274
"Sherman County, TX",3022
"Smith County, TX",232751
"Somervell County, TX",9128
"Starr County, TX",64633
"Stephens County, TX",9366
"Sterling County, TX",1291
"Stonewall County, TX",1350
"Sutton County, TX",3776
"Swisher County, TX",7397
"Tarrant County, TX",2102515
"Taylor County, TX",138034
"Terrell County, TX",776
"Terry County, TX",12337
"Throckmorton County, TX",1501
"Titus County, TX",32750
"Tom Green County, TX",119200
"Travis County, TX",1273954
"Trinity County, TX",14651
"Tyler County, TX",21672
"Upshur County, TX",41753
"Upton County, TX",3657
"Uvalde County, TX",26741
"Val Verde County, TX",49025
"Van Zandt County, TX",56590
"Victoria County, TX",92084
"Walker County, TX",72971
"Waller County, TX",55246
"Ward County, TX",11998
"Washington County, TX",35882
"Webb County, TX",276652
"Wharton County, TX",41556
"Wheeler County, TX",5056
"Wichita County, TX",132230
"Wilbarger County, TX",12769
"Willacy County, TX",21358
"Williamson County, TX",590551
"Wilson County, TX",51070
"Winkler County, TX",8010
"Wise County, TX",69984
"Wood County, TX",45539
"Yoakum County, TX",8713
"Young County, TX",18010
"Zapata County, TX",14179
"Zavala County, TX",11840
"Utah, UT",3205958
"Beaver County, UT",6710
"Box Elder County, UT",56046
"Cache County, UT",128289
"Carbon County, UT",20463
"Daggett County, UT",950
"Davis County, UT",355481
"Duchesne County, UT",19938
"Emery County, UT",10012
"Garfield County, UT",5051
"Grand County, UT",9754
"Iron County, UT",54839
"Juab County, UT",12017
"Kane County, UT",7886
"Millard County, UT",13188
"Morgan County, UT",12124
"Piute County, UT",1479
"Rich County, UT",2483
"Salt Lake County, UT",1160437
"San Juan County, UT",15308
"Sanpete County, UT",30939
"Sevier County, UT",21620
"Summit County, UT",42145
"Tooele County, UT",72259
"Uintah County, UT",35734
"Utah County, UT",636235
"Wasatch County, UT",34091
"Washington County, UT",177556
"Wayne County, UT",2711
"Weber County, UT",260213
"Vermont, VT",623989
"Addison County, VT",36777
"Bennington County, VT",35470
"Caledonia County, VT",29993
"Chittenden County, VT",163774
"Essex County, VT",6163
"Franklin County, VT",49402
"Grand Isle County, VT",7235
"Lamoille County, VT",25362
"Orange County, VT",28892
"Orleans County, VT",27037
"Rutland County, VT",58191
"Washington County, VT",58409
"Windham County, VT",42222
"Windsor County, VT",55062
"Virginia, VA",8535519
"Accomack County, VA",32316
"Albemarle County, VA",109330
"Alleghany County, VA",14860
"Amelia County, VA",13145
"Amherst County, VA",31605
"Appomattox County, VA",15911
"Arlington County, VA",236842
"Augusta County, VA",75558
"Bath County, VA",4147
"Bedford County, VA",78997
"Bland County, VA",6280
"Botetourt County, VA",33419
"Brunswick County, VA",16231
"Buchanan County, VA",21004
"Buckingham County, VA",17148
"Campbell County, VA",54885
"Caroline County, VA",30725
"Carroll County, VA",29791
"Charles City County, VA",6963
"Charlotte County, VA",11880
"Chesterfield County, VA",352802
"Clarke County, VA",14619
"Craig County, VA",5131
"Culpeper County, VA",52605
"Cumberland County, VA",9932
"Dickenson County, VA",14318
"Dinwiddie County, VA",28544
"Essex County, VA",10953
"Fairfax County, VA",1147532
"Fauquier County, VA",71222
"Floyd County, VA",15749
"Fluvanna County, VA",27270
"Franklin County, VA",56042
"Frederick County, VA",89313
"Giles County, VA",16720
"Gloucester County, VA",37348
"Goochland County, VA",23753
"Grayson County, VA",15550
"Greene County, VA",19819
"Greensville County, VA",11336
"Halifax County, VA",33911
"Hanover County, VA",107766
"Henrico County, VA",330818
"Henry County, VA",50557
"Highland County, VA",2190
"Isle of Wight County, VA",37109
"James City County, VA",76523
"King and Queen County, VA",7025
"King George County, VA",26836
"King William County, VA",17148
"Lancaster County, VA",10603
"Lee County, VA",23423
"Loudoun County, VA",413538
"Louisa County, VA",37591
"Lunenburg County, VA",12196
"Madison County, VA",13261
"Mathews County, VA",8834
"Mecklenburg County, VA",30587
"Middlesex County, VA",10582
"Montgomery County, VA",98535
"Nelson County, VA",14930
"New Kent County, VA",23091
"Northampton County, VA",11710
"Northumberland County, VA",12095
"Nottoway County, VA",15232
"Orange County, VA",37051
"Page County, VA",23902
"Patrick County, VA",17608
"Pittsylvania County, VA",60354
"Powhatan County, VA",29652
"Prince Edward County, VA",22802
"Prince George County, VA",38353
"Prince William County, VA",470335
"Pulaski County, VA",34027
"Rappahannock County, VA",7370
"Richmond County, VA",9023
"Roanoke County, VA",94186
"Rockbridge County, VA",22573
"Rockingham County, VA",81948
"Russell County, VA",26586
"Scott County, VA",21566
"Shenandoah County, VA",43616
"Smyth County, VA",30104
"Southampton County, VA",17631
"Spotsylvania County, VA",136215
"Stafford County, VA",152882
"Surry County, VA",6422
"Sussex County, VA",11159
"Tazewell County, VA",40595
"Warren County, VA",40164
"Washington County, VA",53740
"Westmoreland County, VA",18015
"Wise County, VA",37383
"Wythe County, VA",28684
"York County, VA",68280
"Alexandria city, VA",159428
"Bristol city, VA",16762
"Buena Vista city, VA",6478
"Charlottesville city, VA",47266
"Chesapeake city, VA",244835
"Colonial Heights city, VA",17370
"Covington city, VA",5538
"Danville city, VA",40044
"Emporia city, VA",5346
"Fairfax city, VA",24019
"Falls Church city, VA",14617
"Franklin city, VA",7967
"Fredericksburg city, VA",29036
"Galax city, VA",6347
"Hampton city, VA",134510
"Harrisonburg city, VA",53016
"Hopewell city, VA",22529
"Lexington city, VA",7446
"Lynchburg city, VA",82168
"Manassas city, VA",41085
"Manassas Park city, VA",17478
"Martinsville city, VA",12554
"Newport News city, VA",179225
"Norfolk city, VA",242742
"Norton city, VA",3981
"Petersburg city, VA",31346
"Poquoson city, VA",12271
"Portsmouth city, VA",94398
"Radford city, VA",18249
"Richmond city, VA",230436
"Roanoke city, VA",99143
"Salem city, VA",25301
"Staunton city, VA",24932
"Suffolk city, VA",92108
"Virginia Beach city, VA",449974
"Waynesboro city, VA",22630
"Williamsburg city, VA",14954
"Winchester city, VA",28078
"Washington, WA",7614893
"Adams County, WA",19983
"Asotin County, WA",22582
"Benton County, WA",204390
"Chelan County, WA",77200
"Clallam County, WA",77331
"Clark County, WA",488241
"Columbia County, WA",3985
"Cowlitz County, WA",110593
"Douglas County, WA",43429
"Ferry County, WA",7627
"Franklin County, WA",95222
"Garfield County, WA",2225
"Grant County, WA",97733
"Grays Harbor County, WA",75061
"Island County, WA",85141
"Jefferson County, WA",32221
"King County, WA",2252782
"Kitsap County, WA",271473
"Kittitas County, WA",47935
"Klickitat County, WA",22425
"Lewis County, WA",80707
"Lincoln County, WA",10939
"Mason County, WA",66768
"Okanogan County, WA",42243
"Pacific County, WA",22471
"Pend Oreille County, WA",13724
"Pierce County, WA",904980
"San Juan County, WA",17582
"Skagit County, WA",129205
"Skamania County, WA",12083
"Snohomish County, WA",822083
"Spokane County, WA",522798
"Stevens County, WA",45723
"Thurston County, WA",290536
"Wahkiakum County, WA",4488
"Walla Walla County, WA",60760
"Whatcom County, WA",229247
"Whitman County, WA",50104
"Yakima County, WA",250873
"West Virginia, WV",1792147
"Barbour County, WV",16441
"Berkeley County, WV",119171
"Boone County, WV",21457
"Braxton County, WV",13957
"Brooke County, WV",21939
"Cabell County, WV",91945
"Calhoun County, WV",7109
"Clay County, WV",8508
"Doddridge County, WV",8448
"Fayette County, WV",42406
"Gilmer County, WV",7823
"Grant County, WV",11568
"Greenbrier County, WV",34662
"Hampshire County, WV",23175
"Hancock County, WV",28810
"Hardy County, WV",13776
"Harrison County, WV",67256
"Jackson County, WV",28576
"Jefferson County, WV",57146
"Kanawha County, WV",178124
"Lewis County, WV",15907
"Lincoln County, WV",20409
"Logan County, WV",32019
"McDowell County, WV",17624
"Marion County, WV",56072
"Marshall County, WV",30531
"Mason County, WV",26516
"Mercer County, WV",58758
"Mineral County, WV",26868
"Mingo County, WV",23424
"Monongalia County, WV",105612
"Monroe County, WV",13275
"Morgan County, WV",17884
"Nicholas County, WV",24496
"Ohio County, WV",41411
"Pendleton County, WV",6969
"Pleasants County, WV",7460
"Pocahontas County, WV",8247
"Preston County, WV",33432
"Putnam County, WV",56450
"Raleigh County, WV",73361
"Randolph County, WV",28695
"Ritchie County, WV",9554
"Roane County, WV",13688
"Summers County, WV",12573
"Taylor County, WV",16695
"Tucker County, WV",6839
"Tyler County, WV",8591
"Upshur County, WV",24176
"Wayne County, WV",39402
"Webster County, WV",8114
"Wetzel County, WV",15065
"Wirt County, WV",5821
"Wood County, WV",83518
"Wyoming County, WV",20394
"Wisconsin, WI",5822434
"Adams County, WI",20220
"Ashland County, WI",15562
"Barron County, WI",45244
"Bayfield County, WI",15036
"Brown County, WI",264542
"Buffalo County, WI",13031
"Burnett County, WI",15414
"Calumet County, WI",50089
"Chippewa County, WI",64658
"Clark County, WI",34774
"Columbia County, WI",57532
"Crawford County, WI",16131
"Dane County, WI",546695
"Dodge County, WI",87839
"Door County, WI",27668
"Douglas County, WI",43150
"Dunn County, WI",45368
"Eau Claire County, WI",104646
"Florence County, WI",4295
"Fond du Lac County, WI",103403
"Forest County, WI",9004
"Grant County, WI",51439
"Green County, WI",36960
"Green Lake County, WI",18913
"Iowa County, WI",23678
"Iron County, WI",5687
"Jackson County, WI",20643
"Jefferson County, WI",84769
"Juneau County, WI",26687
"Kenosha County, WI",169561
"Kewaunee County, WI",20434
"La Crosse County, WI",118016
"Lafayette County, WI",16665
"Langlade County, WI",19189
"Lincoln County, WI",27593
"Manitowoc County, WI",78981
"Marathon County, WI",135692
"Marinette County, WI",40350
"Marquette County, WI",15574
"Menominee County, WI",4556
"Milwaukee County, WI",945726
"Monroe County, WI",46253
"Oconto County, WI",37930
"Oneida County, WI",35595
"Outagamie County, WI",187885
"Ozaukee County, WI",89221
"Pepin County, WI",7287
"Pierce County, WI",42754
"Polk County, WI",43783
"Portage County, WI",70772
"Price County, WI",13351
"Racine County, WI",196311
"Richland County, WI",17252
"Rock County, WI",163354
"Rusk County, WI",14178
"St. Croix County, WI",90687
"Sauk County, WI",64442
"Sawyer County, WI",16558
"Shawano County, WI",40899
"Sheboygan County, WI",115340
"Taylor County, WI",20343
"Trempealeau County, WI",29649
"Vernon County, WI",30822
"Vilas County, WI",22195
"Walworth County, WI",103868
"Washburn County, WI",15720
"Washington County, WI",136034
"Waukesha County, WI",404198
"Waupaca County, WI",50990
"Waushara County, WI",24443
"Winnebago County, WI",171907
"Wood County, WI",72999
"Wyoming, WY",578759
"Albany County, WY",38880
"Big Horn County, WY",11790
"Campbell County, WY",46341
